country,scenario,pef_assumption,year,type,data_type_id,unit_id,portion,value,service_factor
Finland,Economics,decreasing,2033,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,158.4896348931237,area-scaled PED_excl_sf
Finland,Economics,decreasing,2033,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,75.94049139611025,area-scaled PED_excl_sf
Finland,Economics,decreasing,2033,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,234.4301262892339,area-scaled PED_excl_sf
Finland,Economics,decreasing,2033,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.2312057542717941,area-scaled PED_excl_sf
Finland,Economics,decreasing,2033,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,-0.02873407643893955,area-scaled PED_excl_sf
Finland,Economics,decreasing,2033,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.7975283221671455,area-scaled PED_excl_sf
Finland,Economics,decreasing,2035,PED,PED_excl_sf,GWh/yr,WPBs,44012.74038118962,excl. service factor
Finland,Economics,decreasing,2035,PED,PED_excl_sf,GWh/yr,other,21269.14751815965,excl. service factor
Finland,Economics,decreasing,2035,PED,PED_excl_sf,GWh/yr,total,65281.88789934927,excl. service factor
Finland,Economics,decreasing,2035,PED share,PED_excl_sf,-,WPB reduction,0.2530926679663323,excl. service factor
Finland,Economics,decreasing,2035,PED share,PED_excl_sf,-,other reduction,-0.0203671313216766,excl. service factor
Finland,Economics,decreasing,2035,PED share,PED_excl_sf,-,remainder,0.7672744633553442,excl. service factor
Finland,Economics,decreasing,2035,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,150.2059462607965,area-scaled PED_excl_sf
Finland,Economics,decreasing,2035,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,72.58699189044427,area-scaled PED_excl_sf
Finland,Economics,decreasing,2035,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,222.7929381512407,area-scaled PED_excl_sf
Finland,Economics,decreasing,2035,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.259386758142193,area-scaled PED_excl_sf
Finland,Economics,decreasing,2035,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,-0.01732551357000863,area-scaled PED_excl_sf
Finland,Economics,decreasing,2035,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.7579387554278156,area-scaled PED_excl_sf
Finland,Economics,decreasing,2040,PED,PED_excl_sf,GWh/yr,WPBs,37998.97441043588,excl. service factor
Finland,Economics,decreasing,2040,PED,PED_excl_sf,GWh/yr,other,18838.62509182149,excl. service factor
Finland,Economics,decreasing,2040,PED,PED_excl_sf,GWh/yr,total,56837.59950225738,excl. service factor
